,product_url,store_id,product_id,category,processed,final_classifier,dominant_color,embedding_class,bow_class,image_class,product_gender
0,www.tesco.com/groceries/en-GB/products/311203694,1,311203694,Deodorant,sure woman bright bouquet h nonstop protection deodorant sure woman bright bouquet h nonstop protection deodorant sure woman nonstop protection bright bouquet deodorant aerosol hour sweat protection making x powerful always ready keep moving formula keep feeling clean fresh dry day without causing irritation deodorant woman us sures body heat technology work hard heat dissolving form strong protective barrier body heat rise giving unstoppable confidence strawberry apricot vanilla scent whether cheering team hard meeting friend spray give backup need work hard sure work harder use shake well spray short burst area holding woman deodorant spray away underarm avoid contact eye broken skin available range fresh scent sure deodorant also come spray deodorant stick roll perfect go made infinitely aluminium please recycle let move together sustainable future brand sure belief inspiring everyone confidence move beyond limit sure wont let v sure essential range ethyl beauty woman toiletry deodorant woman,0.0,,0.0,0.0,1.0,0
1,www.tesco.com/groceries/en-GB/products/325116457,1,325116457,Skincare,vitamin c brightening orange night cream vitamin c brightening orange night cream vitamin c brightening orange night cream clean beauty formula combine power vitamin c natural ingredient brighten smooth skin cream help improve texture appearance skin leaving healthy glowing refreshing citrus scent property make radiant health beauty face cleansing,0.0,,0.0,0.0,1.0,2
3,www.tesco.com/groceries/en-GB/products/313623493,1,313623493,Shampoo/Conditioner,colour protect hair conditioner colour protect hair conditioner daily hair fuel hair unique blend strengthening protective antioxidant colour protect hair conditioner x nutrient v shampoo core hair replenish within protect hair styling damage infuse hair healthy beauty conditioner colour care purple conditioner colour care purple conditioner,0.0,,0.0,0.0,1.0,2
4,www.tesco.com/groceries/en-GB/products/262504562,1,262504562,Shampoo/Conditioner,rich luxury moisture rich luxury moisture dont let dry hair get understand frustration dry hair thats styling appliance external factor thats moisture rich conditioner part system combining performance gentle care luxurious conditioner hair ha vitamin e instantly lock moisture right hair need soft hair shine start routine moisture rich shampoo squeeze generous amount moisture rich conditioner palm hand distribute evenly damp hair end first work conditioner toward root leave minute rinse thoroughly style styling product weve always style important part embracing personal style help achieve whatever set hair care styling product mean everyone achieve salon result home personal style every choice make informed brand value latest salon trend unique formula result year consumer scientific research every ingredient carefully selected ensure hair best possible care end look entire portfolio globally personal style whilst knowing test animal moisture rich shampoo beauty conditioner normal hair everyday conditioner normal hair everyday conditioner,0.0,,0.0,0.0,1.0,2
5,www.tesco.com/groceries/en-GB/products/281974782,1,281974782,Deodorant,sport roll sport roll health beauty deodorant roll deodorant men roll deodorant,1.0,,1.0,1.0,1.0,1
6,www.tesco.com/groceries/en-GB/products/314424208,1,314424208,Cleaning Liquid,easy original thick bleach easy original thick bleach charter member kill bacteria staphylococcus aureus confirmed laboratory test en minute contact cleaning bleach toilet cleaner bleach,2.0,,2.0,2.0,1.0,2
7,www.tesco.com/groceries/en-GB/products/252223293,1,252223293,Skincare,loreal age perfect refreshing toner loreal age perfect refreshing toner smoothing antifatigue vitamin c mature skin formula vitamin c magnesium known property smooth skin reducing sign fatigue clinically proven result tone skin help reduce sign fatigue continuous daily use skin feel smooth radiant key ingredient essential nutrient toner vitamin c vitamin b enrich mature skin beauty face face cleansing face toner,1.0,,1.0,1.0,1.0,2
8,www.tesco.com/groceries/en-GB/products/314323282,1,314323282,Body Wash,essential shower gel lightly essential shower gel lightly skin type help leave skin feeling clean fresh suitable daily beauty shower bath hand hygiene shower shower gel body wash,1.0,,1.0,1.0,1.0,2
9,www.tesco.com/groceries/en-GB/products/260541366,1,260541366,Skincare,st blemish fighting apricot scrub st blemish fighting apricot scrub apricot scrub clean impurity dead skin cell formula swiss glacial water botanical radiant skin tube st apricot blemish fighting scrub st capture secret naturally beautiful healthy looking skin deep cleansing formula gently removing dull dead skin cell delicious yet simple facial scrub smell fuzzy apricot help exfoliate skin deeply clean pore fresh skin blemish fighting apricot scrub salicylic acid help prevent new blackhead blemish forming made natural gentle yet deep cleanse course apricot extract known leave skin feeling soft smooth science exfoliation know skin constantly basically body always making new skin cell sleep eat class morning status meeting work get point however process perfect sometimes old cell dont flake quickly enough buildup leave rough dull complexion enter face scrub used correctly deep facial cleanser help boost radiance gently buffing away leftover dead skin cell properly skin look smoother downright use squeeze small size amount onto fingertip massage damp skin spread small circular motion gentle pressure wake skin natural circulation work right hairline onto side nose done rinse pat dry clean towel use time week depending skin best beauty face face cleansing face scrub,2.0,,0.0,0.0,1.0,2
10,www.tesco.com/groceries/en-GB/products/311784581,1,311784581,Supplements,health hair skin nail mineral tablet mineral food supplement daily supplement support general nutrient selenium support maintenance normal hair nail iodine support maintenance normal skin support healthy hair skin nail day vitamin g vitamin e te vitamin c thiamin vitamin b riboflavin vitamin b niacin ne vitamin b acid g vitamin b g biotin g pantothenic acid magnesium iron zinc copper manganese selenium g chromium g iodine g beta carotene cysteine grape extract nutrient reference value beauty vitamin mineral supplement hair skin nail vitamin supplement hair skin nail vitamin supplement,0.0,,0.0,0.0,1.0,2
11,www.tesco.com/groceries/en-GB/products/287615565,1,287615565,Supplements,herbal simply sleep calm elixir valerian root extract herbal simply sleep calm elixir valerian root extract herbal simply sleep calm elixir traditional herbal medicinal product used temporary relief symptom mild anxiety aid sleep based traditional use detail tip visit beauty vitamin mineral supplement sleep aid stress stress relief,0.0,,0.0,0.0,1.0,2
